short_name,long_name,overall,nationality_name,shooting,passing,defending
D. Theodorou,Dimitrios Theodorou,65,Cyprus,62.0,57.0,21.0
F. Mansilla,Facundo Mansilla,65,Argentina,31.0,43.0,67.0
B. Öksüz,Burak Öksüz,65,Turkey,36.0,48.0,68.0
R. Dinolis,Ronaldo Dinolis,65,Panama,70.0,52.0,19.0
O. Dasa,Or Dasa,65,Israel,64.0,58.0,28.0
Bastida,Álvaro Bastida Moya,65,Spain,41.0,56.0,65.0
B. Bjarnason,Brynjar Ingi Bjarnason,65,Iceland,25.0,47.0,65.0
G. Sazdağı,Gökhan Sazdağı,65,Turkey,65.0,64.0,37.0
Oier Luengo,Oier Luengo Redondo,65,Spain,32.0,51.0,65.0
Y. Hirano,平野 佑一,65,Japan,39.0,57.0,62.0
S. Damjanović,Slavko Damjanović,65,Serbia,44.0,49.0,63.0
Marcelo dos Santos,Marcelo Ribeiro dos Santos,65,Brazil,69.0,47.0,30.0
W. Kechrida,Wajdi Kechrida,65,Tunisia,34.0,50.0,63.0
Jája Silva,Jandir Breno Souza Silva,65,Brazil,59.0,58.0,31.0
Iturbe,Alejandro Iturbe Encabo,65,Spain,,,
T. Schumacher,Till Schumacher,65,Germany,47.0,55.0,60.0
F. Moreira,Facundo Moreira,65,Uruguay,49.0,59.0,67.0
Gabri Martínez,Gabriel Martínez Aguilera,65,Spain,60.0,60.0,30.0
J. Deom,Jérôme Déom,65,Belgium,51.0,64.0,58.0
D. Kasumu,David Ayomide Kasumu,65,Nigeria,52.0,62.0,64.0
J. Ayunga,Jonah Ananias Paul Ayunga,65,Kenya,63.0,55.0,37.0
J. Abu Hanna,Joël Abu Hanna,65,Israel,33.0,56.0,64.0
J. Felix,Joel Rasmus Felix,65,Denmark,41.0,49.0,67.0
João Graça,João Pedro Salazar da Graça,65,Portugal,53.0,64.0,59.0
L. Montoya,Lautaro Montoya,65,Argentina,56.0,63.0,59.0
P. Nange,Phathutshedzo Nange,65,South Africa,61.0,65.0,62.0
F. Gil,Faber Andrés Gil Mosquera,65,Colombia,68.0,59.0,46.0
D. Jakubik,Damian Jakubik,65,Poland,32.0,53.0,61.0
M. Ali,Mukhtar Abdullahi Ali,65,Saudi Arabia,52.0,60.0,57.0
Ahn Tae Hyun,Tae Hyun Ahn,65,Korea Republic,57.0,52.0,59.0
J. Ibáñez,Joaquín Bautista Ibáñez,65,Argentina,57.0,59.0,42.0
S. Méndez,Sebastián Antonio Méndez Plaza,65,Chile,54.0,61.0,63.0
Christian Gómez,Christian Gómez Vela,65,Spain,,,
B. Cordara,Brian Cordara,65,Uruguay,65.0,53.0,27.0
M. Gulpa,Mario Gulpa,65,Germany,52.0,66.0,33.0
A. Pavlovets,Aleksandr Pavlovets,65,Belarus,28.0,41.0,65.0
E. Destan,Enis Destan,65,Turkey,67.0,56.0,48.0
J. Meza,José Alí Meza,65,Venezuela,65.0,64.0,40.0
Jon Magunazelaia,Jon Magunazelaia,65,Spain,65.0,64.0,46.0
Y. Regeer,Youri Regeer,65,Netherlands,55.0,63.0,61.0
M. Soulé,Matìas Soulé,65,Argentina,63.0,67.0,29.0
N. Stevanovic,Nikola Stevanovic,65,Serbia,23.0,37.0,66.0
K. Piric,Kenan Piric,65,Bosnia and Herzegovina,,,
J. Quiñónez,Jean Carlos Quiñónez,65,Ecuador,60.0,58.0,59.0
H. Nakahara,中原 輝,65,Japan,63.0,65.0,43.0
C. O'Keeffe,Corey James John O'Keeffe,65,Republic of Ireland,54.0,60.0,58.0
A. Fisher,Andrew Lee Fisher,65,England,,,
D. Ernst,Dominik Ernst,65,Germany,43.0,54.0,57.0
T. Jacobsen,Thore-Andreas Jacobsen,65,Germany,51.0,61.0,60.0
M. Warming,Magnus Warming,65,Denmark,58.0,55.0,33.0
R. Dadashov,Renat Oleq Oğlu Dadaşov,65,Azerbaijan,64.0,52.0,25.0
Kim Dong Min,김동민 金东明,65,Korea Republic,38.0,49.0,65.0
L. Pizarro,Luciano Gastón Pizarro,65,Argentina,57.0,60.0,52.0
S. Krpić,Sulejman Krpić,65,Bosnia and Herzegovina,63.0,54.0,44.0
Yoon Jong Gyu,윤종규 Jong Gyu Yoon,65,Korea Republic,38.0,57.0,61.0
B. Bronico,Brandt Bronico,65,United States,58.0,58.0,61.0
C. Greger,Christoph Greger,65,Germany,28.0,37.0,64.0
T. Kraulich,Tobias Kraulich,65,Germany,42.0,52.0,64.0
A. Pears,Aynsley Pears,65,England,,,
E. Hamilton,Ethan Hamilton,65,Scotland,64.0,63.0,61.0
T. Børkeeiet,Tobias Borchgrevink Børkeeiet,65,Norway,52.0,58.0,63.0
P. Soko,Serge Patrick Njoh Soko,65,Cameroon,61.0,54.0,32.0
H. Tangen,Harald Nilsen Tangen,65,Norway,59.0,61.0,37.0
I. Young,Isaiah Ahmad Young,65,United States,58.0,59.0,31.0
L. Bünning,Lars Bünning,65,Germany,41.0,55.0,63.0
L. Scherff,Lukas Scherff,65,Germany,51.0,55.0,57.0
K. John,Kelechi John,65,Nigeria,33.0,39.0,66.0
D. Avounou,Bel-Durel Avounou,65,Congo,60.0,61.0,59.0
E. Banda,Emmanuel Justine Rabby Banda,65,Zambia,66.0,64.0,47.0
Dani Morer,Daniel Morer Cabrera,65,Spain,48.0,60.0,58.0
J. Pourtau,Jerónimo Pourtau,65,Argentina,,,
A. Yiğiter,Abdullah Yiğiter,65,Turkey,,,
Vitó,Victor Emanuel Araújo Ferreira,65,Portugal,61.0,60.0,57.0
A. Morley,Aaron Paul Morley,65,England,57.0,65.0,61.0
B. Thomas-Asante,Brandon Michael Clarke Thomas-Asante,65,England,61.0,55.0,31.0
B. Güngördü,Bahadır Han Güngördü,65,Turkey,,,
T. Silvestri,Tommaso Silvestri,65,Italy,32.0,39.0,70.0
S. Müller,Sven Tobias Müller,65,Germany,,,
Y. Demoncy,Yohan Demoncy,65,France,48.0,60.0,60.0
D. Anyembe,Daniel Francis Anyembe,65,Denmark,45.0,57.0,56.0
K. Krygård,Kevin Martin Krygård,65,Norway,54.0,60.0,63.0
L. Lingman,Lucas Lingman,65,Finland,55.0,66.0,52.0
T. Muyumba,Tristan Muyumba Nkita,65,France,45.0,60.0,61.0
P. Lima,Paulo Fabián Lima Simoes,65,Uruguay,33.0,43.0,63.0
Javi Díaz,Javier Díaz Sánchez,65,Spain,,,
A. Ariano,Azmahar Anibal Ariano Navarro,65,Panama,22.0,41.0,66.0
K. Ford,Kortne Ford,65,United States,27.0,35.0,62.0
Kim Bo Seop,김보섭 金奉徐,65,Korea Republic,62.0,55.0,45.0
A. Melgalvis,Aleksander Melgalvis Andreassen,65,Norway,62.0,62.0,58.0
C. Villanueva,Carlos Alberto Villanueva Fuentes,65,Chile,65.0,58.0,39.0
A. Poulsen,Andreas Poulsen,65,Denmark,44.0,58.0,61.0
K. Jakob,Killian Jakob,65,Germany,40.0,57.0,57.0
J. Iritier,Javier Eduardo Iritier,65,Argentina,57.0,60.0,30.0
P. Vagić,Pavle Vagić,65,Sweden,53.0,59.0,62.0
Y. Gökoğlan,Yiğit İsmail Gökoğlan,65,Turkey,51.0,61.0,35.0
L. Fané,Lassana Fané,65,Mali,51.0,62.0,58.0
M. Lalkovič,Milan Lalkovič,65,Slovakia,59.0,56.0,37.0
E. Rojas,Edivaldo Rojas Hermoza,65,Bolivia,62.0,60.0,29.0
P. Staňo,Pavol Staňo,65,Slovakia,59.0,47.0,61.0
B. Khumalo,Bongani Sandile Khumalo,65,South Africa,29.0,36.0,66.0
D. Šernas,Darvydas Šernas,65,Lithuania,59.0,58.0,35.0
E. Jimenoz,Eduardo Jimenoz,65,Venezuela,58.0,63.0,66.0
F. Señoreli,Francisco Señoreli,65,Venezuela,52.0,66.0,56.0
M. Seanego,Maselaelo Seanego,65,South Africa,46.0,59.0,24.0
A. Vuković,Andrija Vuković,65,Croatia,,,
Tom,Wellington Brito da Silva,65,Brazil,63.0,62.0,27.0
A. El Messaoudi,Ahmed El Messaoudi,65,Belgium,28.0,55.0,65.0
T. Akindele,Tesho Akindele,65,United States,61.0,50.0,28.0
K. Opoku,Kwadwo Opoku,65,Ghana,65.0,49.0,36.0
D. Torres,Darwin Torres,65,Uruguay,29.0,48.0,66.0
Isma Ruiz,Ismael Ruiz Sánchez,65,Spain,46.0,61.0,63.0
Á. Campuzano,Álvaro Marcial Campuzano,65,Paraguay,46.0,56.0,60.0
J. Maher,Jack Maher,65,United States,24.0,47.0,66.0
T. Marchiori,Tomás Ignacio Marchiori Carreño,65,Argentina,,,
D. Ribera,David Ribera,65,Bolivia,55.0,60.0,37.0
K. Sène,Mamadou Kaly Sène,65,Senegal,64.0,61.0,27.0
B. Alhassan,Baba Alhassan,65,Ghana,66.0,58.0,59.0
F. Mendy,Formose Mendy,65,Senegal,32.0,51.0,64.0
K. Butić,Karlo Butić,65,Croatia,66.0,53.0,37.0
J. Araúz,Jorge Araúz,65,Bolivia,,,
T. Arokodare,Toluwalase Emmanuel Arokodare,65,Nigeria,64.0,46.0,29.0
O. Sæter,Ole Christian Hammerfjell Sæter,65,Norway,65.0,50.0,29.0
Ł. Łakomy,Łukasz Łakomy,65,Poland,54.0,57.0,61.0
S. Ramírez,Santiago Valentín Ramírez Polero,65,Uruguay,66.0,53.0,18.0
H. Abaida El Achhab,Haitam Abaida El Achhab,65,Morocco,56.0,58.0,25.0
B. Benamar,Benaissa Benamar,65,Morocco,28.0,49.0,64.0
D. Oroz,Alois Dominik Oroz,65,Croatia,36.0,53.0,65.0
J. Cuéllar,Jhon Jairo Cuellar Vaca,65,Bolivia,,,
M. Di Cesare,Marco Genare Di Cesare,65,Argentina,31.0,41.0,68.0
J. Mendieta,Jesús Mendieta,65,Peru,27.0,51.0,62.0
I. Regalado,Italo Regalado,65,Peru,61.0,63.0,48.0
F. Carabalí,Franklin Alexander Carabalí Carabalí,65,Ecuador,38.0,51.0,62.0
M. Solbakken,Markus Solbakken,65,Norway,56.0,64.0,59.0
C. Patino,Charlie Patino,65,England,47.0,64.0,60.0
F. Oppegård,Fredrik Oppegård,65,Norway,53.0,59.0,58.0
S. Sambo,Shurandy Sambo,65,Netherlands,36.0,58.0,61.0
P. Siles,Pedro Siles,65,Bolivia,56.0,63.0,63.0
F. Rojas,Fabio Rojas,65,Peru,23.0,43.0,67.0
M. Mosquera,Moises Castillo Mosquera,65,Colombia,31.0,48.0,65.0
Leandro Sanca,Leandro Sanca,65,Portugal,58.0,59.0,30.0
C. Scott,Christopher Gavin Scott,65,Germany,63.0,57.0,26.0
T. Rhein,Torben Bjarne Rhein,65,Germany,58.0,69.0,42.0
S. Nanasi,Sebastian Nanasi,65,Sweden,59.0,58.0,29.0
J. Olschowsky,Jan Jakob Olschowsky,65,Germany,,,
J. García,Roberto Joaquín García,65,Argentina,39.0,53.0,58.0
D. Ouédraogo,Dylan Louis Ange Ouédraogo,65,Burkina Faso,33.0,50.0,65.0
J. Cruz,Joan Manuel Cruz Castro,65,Chile,59.0,62.0,23.0
A. Valencia,Anthony Lenin Valencia Bajaña,65,Ecuador,61.0,58.0,44.0
Á. Meléndez,Álvaro José Meléndez Escobar,65,Colombia,61.0,59.0,17.0
M. Cornejo,Miguel Angel Cornejo Loli,65,Peru,64.0,59.0,61.0
J. Hidalgo,Johandry Jericoth Hidalgo Mora,65,Venezuela,52.0,61.0,58.0
B. Leizza,Brian Alexis Leizza,65,Argentina,28.0,44.0,65.0
M. Šviderský,Martin Šviderský,65,Slovakia,43.0,61.0,63.0
Rubén Pulido,Rubén Pulido Peñas,65,Spain,37.0,52.0,64.0
F. Jörgensen,Filip Jörgensen,65,Sweden,,,
E. Cornelisse,Enzo Cornelisse,65,Netherlands,33.0,60.0,65.0
A. Németh,András Németh,65,Hungary,62.0,44.0,20.0
E. Dinkçi,Eren Sami Dinkçi,65,Germany,65.0,58.0,28.0
A. Pyrka,Arkadiusz Pyrka,65,Poland,61.0,57.0,55.0
B. Norton-Cuffy,Brooke Norton-Cuffy,65,England,39.0,55.0,58.0
J. Mvuka,Joel Mvuka,65,Norway,53.0,56.0,40.0
G. Aranda,Gabriel Aranda,65,Argentina,30.0,42.0,65.0
Þ. Helgason,Þórir Jóhann Helgason,65,Iceland,61.0,62.0,48.0
Gui Guedes,Guilherme Borges Guedes,65,Portugal,54.0,64.0,57.0
J. Campusano,Jovany Campusano,65,Chile,27.0,57.0,58.0
F. Zapiola,Franco Zapiola,65,Argentina,53.0,65.0,48.0
M. Kaba,Mohamed Kaba,65,France,42.0,56.0,60.0
Pep Gayà,Josep Gayà Martínez,65,Spain,32.0,49.0,65.0
C. Rushworth,Carl Rushworth,65,England,,,
W. Swedberg,Williot Theo Swedberg,65,Sweden,60.0,60.0,48.0
Henrique Jocú,Henrique Jocú,65,Guinea Bissau,41.0,57.0,64.0
K. Schumacher,Kevin Schumacher,65,Germany,60.0,57.0,28.0
L. Fiorini,Lewis Fiorini,65,Scotland,59.0,61.0,54.0
J. Rak-Sakyi,Jesurun Rak-Sakyi,65,England,61.0,57.0,24.0
Javi Llabrés,Javier Llabrés Exposito,65,Spain,60.0,57.0,31.0
Matheus Bueno,Matheus Bueno Batista,65,Brazil,58.0,64.0,55.0
Daniel Queipo,Daniel Queipo Menéndez,65,Spain,58.0,60.0,30.0
O. Barreto,Orlando Barreto,65,Paraguay,51.0,55.0,64.0
T. Cele,Thabo Cele,65,South Africa,51.0,61.0,58.0
M. Lucas,Manuel Lucas,65,Ecuador,43.0,47.0,66.0
J. Medina,Jonathan Medina,65,Peru,,,
T. Jacob,Tomás Jacob,65,Argentina,35.0,53.0,61.0
Iker Bravo,Iker Bravo Solanilla,65,Spain,67.0,50.0,23.0
J. Portales,Jefferson Portales,65,Peru,29.0,54.0,64.0
M. Amoura,Mohamed Amoura,65,Algeria,64.0,59.0,45.0
P. Lane,Paddy Lane,65,Northern Ireland,62.0,65.0,53.0
L. Damer,Leon Damer,65,Germany,57.0,63.0,40.0
N. Galazzi,Nicolas Galazzi,65,Italy,65.0,62.0,42.0
T. Noslin,Tijjani Noslin,65,Netherlands,59.0,56.0,22.0
S. Mthethwa,Sandile Mthethwa,65,South Africa,36.0,50.0,66.0
J. Castrop,Jens Castrop,65,Germany,45.0,64.0,54.0
M. Vukčević,Marko Vukčević,65,Montenegro,61.0,56.0,61.0
R. Sordo,Ramiro Sordo,65,Argentina,65.0,59.0,33.0
Y. Amyn,Youssef Amyn,65,Germany,59.0,57.0,40.0
K. Vallo,Kristián Vallo,65,Slovakia,48.0,61.0,57.0
L. Bate,Lewis Bate,65,England,52.0,67.0,54.0
D. Pereira,Daniel Pereira,65,Venezuela,53.0,61.0,57.0
M. Keita,Mandela Keita,65,Belgium,31.0,57.0,62.0
J. Brown,Javain Okemio Brown,65,Jamaica,36.0,55.0,64.0
O. Zandén,Oliver Zandén,65,Sweden,40.0,60.0,62.0
D. Scarlett,Dane Pharrell Scarlett,65,England,64.0,51.0,21.0
A. Forson,Amankwah Forson,65,Ghana,53.0,58.0,35.0
R. Ríos,Rubén Darío Ríos,65,Argentina,60.0,64.0,60.0
A. Fernández,Adriel Fernández Sánchez,65,Bolivia,64.0,61.0,59.0
M. Horvat,Matija Horvat,65,Croatia,42.0,53.0,63.0
M. Alonso,Máximo David Alonso Fontes,65,Uruguay,58.0,61.0,43.0
V. Rodríguez,Diego Valentín Rodríguez Alonso,65,Uruguay,53.0,53.0,57.0
N. Cova,Néstor José Gabriel Cova Meneses,65,Venezuela,27.0,54.0,61.0
O. Sonne,Oliver Sonne,65,Denmark,40.0,57.0,58.0
R. Popa,Robert Popa,65,Romania,,,
M. Deijl,Mats Deijl,65,Netherlands,40.0,53.0,63.0
F. Lakenmacher,Fynn Lakenmacher,65,Germany,65.0,49.0,25.0
K. Corredor,Killian Corredor,65,France,65.0,56.0,24.0
S. Thórdarson,Stefán Teitur Thórdarson,65,Iceland,57.0,60.0,59.0
F. Cann,Francis Cann,65,Ghana,61.0,54.0,28.0
K. Gkezos,Kosmas Gkezos,65,Greece,46.0,53.0,63.0
T. Kristensen,Thomas Thiesson Kristensen,65,Denmark,26.0,46.0,64.0
F. Jaritz,Florian Jaritz,65,Austria,58.0,62.0,58.0
M. Lotka,Marcel Lotka,65,Poland,,,
I. Vekič,Igor Vekič,65,Slovenia,,,
W. Mikelbrencis,William Mikelbrencis,65,France,38.0,56.0,61.0
Enric Llansana,Enric Llansana Beuse,65,Netherlands,44.0,63.0,63.0
J. Pulskamp,John Pulskamp,65,United States,,,
É. Cetré,Éder Derik Cetré Castillo,65,Ecuador,59.0,57.0,64.0
J. Seldinarez,Jorge Seldinarez,65,Uruguay,45.0,49.0,66.0
S. Adelos,Sebastian Adelos,65,Uruguay,53.0,65.0,60.0
E. Cubildas,Eladio Cubildas,65,Paraguay,45.0,56.0,65.0
M. Parediso,Miguel Parediso,65,Bolivia,58.0,64.0,43.0
A. Candelo,Anyelo Candelo,65,Colombia,63.0,65.0,63.0
L. Galados,Luis Galados,65,Bolivia,44.0,61.0,62.0
L. Muñezal,Leonel Muñezal,65,Uruguay,45.0,57.0,60.0
B. Zentena,Baltazar Zentena,65,Chile,61.0,60.0,30.0
C. Lobella,Christian Lobella,65,Colombia,57.0,55.0,43.0
L. Goterio,Lucas Goterio,65,Paraguay,54.0,54.0,65.0
J. Dorlans,Junior Dorlans,65,Colombia,49.0,55.0,65.0
A. Romales,Alexer Romales,65,Peru,55.0,62.0,61.0
S. Abarsola,Saul Abarsola,65,Ecuador,52.0,59.0,64.0
F. Millados,Franco Millados,65,Ecuador,51.0,59.0,60.0
F. Brandero,Felipe Brandero,65,Uruguay,47.0,60.0,61.0
E. Escalaya,Elvin Escalaya,65,Colombia,39.0,60.0,67.0
R. Gaetaños,Rodolfo Gaetaños,65,Peru,65.0,63.0,37.0
A. Saltininio,Antonio Saltininio,65,Colombia,67.0,52.0,34.0
J. Venlero,Jean Paul Venlero,65,Peru,53.0,54.0,62.0
F. Geraldoza,Frank Geraldoza,65,Chile,49.0,59.0,60.0
M. Rocenta,Manuel Rocenta,65,Uruguay,63.0,60.0,33.0
E. Barrega,Efrain Barrega,65,Paraguay,64.0,52.0,23.0
C. Gazalio,Cristopher Gazalio,65,Ecuador,64.0,45.0,29.0
A. Souper,Andrés Souper De La Cruz,65,Chile,61.0,62.0,35.0
F. Martínez,Fernando Martínez Rojas,65,Paraguay,53.0,54.0,65.0
E. Alfonso,Ezequiel Alfonso,65,Paraguay,52.0,56.0,25.0
A. Ejupi,Albert Ejupi,65,Sweden,56.0,62.0,59.0
G. Paiva,Guillermo Paiva,65,Paraguay,68.0,49.0,25.0
T. Gray,Tayvon Gray,65,United States,30.0,52.0,61.0
O. Salomón,Oscar Camilo Salomón,65,Argentina,33.0,47.0,66.0
J. Cazares,José Luis Cazares Quiñonez,65,Ecuador,50.0,60.0,66.0
M. Mejía,Marlon Mauricio Mejía Díaz,65,Ecuador,33.0,46.0,65.0
T. Burey,Tyler Burey,65,England,64.0,55.0,38.0
L. Hjelde,Leo Fuhr Hjelde,65,Norway,32.0,54.0,64.0
I. Cazal,Javier Iván Cazal Báez,65,Paraguay,51.0,62.0,28.0
Seo Min Woo,Min Woo Seo,65,Korea Republic,44.0,55.0,61.0
B. Garrity,Benjamin Matthew Garrity,65,England,61.0,61.0,63.0
J. Mosquera,Juan David Mosquera López,65,Colombia,49.0,56.0,58.0
Julio Martínez,Julio Martínez Cortés,65,Spain,65.0,54.0,19.0
T. Galletto,Tiago Galletto López,65,Uruguay,53.0,63.0,64.0
L. Le Roux,Luke Le Roux,65,South Africa,50.0,61.0,59.0
D. Maldini,Daniel Maldini,65,Italy,57.0,64.0,39.0
I. Nuhu,Isaac Nuhu,65,Ghana,63.0,57.0,32.0
M. Ramos,Jefferson Michell Ramos Ramírez,65,Colombia,67.0,44.0,19.0
T. Banega,Tiago Nahuel Banega,65,Argentina,60.0,65.0,48.0
J. Ondrejka,Jacob Ondrejka,65,Sweden,56.0,61.0,46.0
É. Bocat,Eric Junior Bocat,65,France,51.0,60.0,60.0
T. Rojas,Tito Daniel Rojas Rojas,65,Venezuela,,,
R. Mejía,Robert Mejía,65,Colombia,47.0,57.0,62.0
M. Rosołek,Maciej Rosołek,65,Poland,61.0,56.0,26.0
T. Lutonda,Thierry Lutonda,65,Belgium,31.0,55.0,58.0
Dani Fernández,Daniel Fernández Fernández,65,Spain,34.0,54.0,63.0
A. Ngouyamsa,Ahmad Toure Ngouyamsa Nounchil,65,Cameroon,40.0,55.0,63.0
R. Ndiaye,Rassoul Ndiaye,65,France,46.0,61.0,61.0
W. Taïbi,Waniss Taïbi,65,France,50.0,65.0,53.0
P. Vroegh,Patrick Vroegh,65,Netherlands,54.0,63.0,56.0
M. Popa,Mihai Maximilian Popa,65,Romania,,,
D. Osio,Diego Andrés Osio Valencia,65,Venezuela,31.0,46.0,64.0
R. Montero,Ronny Fernando Montero Martínez,65,Bolivia,36.0,50.0,67.0
E. Chávez,Edinson José Chávez Quiñónez,65,Peru,45.0,53.0,61.0
J. Izquierdo,Juan Manuel Izquierdo Viana,65,Uruguay,26.0,49.0,65.0
R. Onea,Răzvan Philippe Onea,65,Romania,56.0,56.0,59.0
F. Tsadjout,Franck Cédric Tsadjout,65,Italy,64.0,50.0,30.0
I. Jansson,Isak Jansson,65,Sweden,62.0,55.0,41.0
S. Russo,Stefano Russo,65,Germany,53.0,58.0,62.0
E. Tagseth,Edvard Sandvik Tagseth,65,Norway,52.0,62.0,56.0
M. Koenders,Milano Koenders,65,Netherlands,32.0,56.0,63.0
Helio Pinto,Hélio José Ribeiro Pinto,65,Portugal,56.0,70.0,49.0
M. Henn,Matthias Henn,65,Germany,44.0,49.0,64.0
F. Assmann,Walter Fabián Assmann,65,Argentina,,,
L. Lekgwathi,Lucky Letlhohonolo Lekgwathi,65,South Africa,42.0,50.0,65.0
A. Stephan,Alexander Stephan,65,Germany,,,
J. Dudgeon,Joe Dudgeon,65,Northern Ireland,43.0,56.0,65.0
Echaide,Jon Echaide Sola,65,Spain,42.0,46.0,63.0
Bolívia,Edivaldo Rojas Hermosa,65,Bolivia,62.0,60.0,29.0
D. Destorme,David Destorme,65,Belgium,67.0,64.0,45.0
M. Theo,Michael Theo,65,Australia,,,
D. Zola,Distel Zola,65,Congo DR,32.0,57.0,60.0
M. Ivana,Milan Ivana,65,Slovakia,62.0,61.0,38.0
J. Villalpando,Jorge Villalpando,65,Mexico,,,
Deleu,Luiz Carlos Santos,65,Brazil,58.0,64.0,61.0
M. Asper,Mattias Asper,65,Sweden,,,
J. Langfield,Jamie Langfield,65,Scotland,,,
S. Crainey,Stephen Crainey,65,Scotland,44.0,63.0,66.0
B. Sibum,Bas Sibum,65,Netherlands,48.0,58.0,64.0
H. Mullins,Hayden Mullins,65,England,46.0,61.0,66.0
J. Aït Ben Idir,Jamel Aït Ben Idir,65,Morocco,46.0,62.0,62.0
S. Wils,Stef Wils,65,Belgium,42.0,53.0,65.0
B. Schlicke,Björn Schlicke,65,Germany,44.0,52.0,66.0
O. Auriac,Olivier Auriac,65,France,51.0,64.0,55.0
R. Brittain,Richard Brittain,65,Scotland,67.0,66.0,61.0
R. Jovanović,Ranisav Jovanović,65,Serbia,65.0,53.0,34.0
J. Storbæk,Jarl André Storbæk,65,Norway,61.0,58.0,62.0
Ó. Mascorro,Óscar Yaroslav Mascorro Ábrego,65,Mexico,46.0,43.0,65.0
T. Eriksson,Robert Tobias Eriksson,65,Sweden,58.0,67.0,51.0
D. Ambrose,Darren Ambrose,65,England,67.0,67.0,41.0
V. Lampi,Veli Lampi,65,Finland,49.0,58.0,66.0
G. Gemiti,Giuseppe Gemiti,65,Germany,49.0,60.0,56.0
N. Lodberg,Niels Lodberg,65,Denmark,44.0,55.0,64.0
R. Wellens,Richard Wellens,65,England,53.0,70.0,56.0
L. Williamson,Lee Williamson,65,England,62.0,63.0,61.0
César Caneda,César Fernández de las Heras Caneda,65,Spain,41.0,48.0,63.0
C. Fauré,Cédric Fauré,65,France,71.0,56.0,30.0
F. Zoko,Bernard François Dassise Zoko,65,Côte d'Ivoire,64.0,56.0,38.0
C. Weber,Christian Weber,65,Germany,53.0,61.0,63.0
M. Saganowski,Marek Saganowski,65,Poland,66.0,54.0,38.0
J. François,Julien François,65,France,46.0,60.0,62.0
D. Clarkson,David Clarkson,65,Scotland,66.0,55.0,41.0
R. Anderson,Russell Anderson,65,Scotland,39.0,42.0,66.0
L. Sánchez,Luis Alberto Sánchez Rodríguez,65,Mexico,49.0,61.0,58.0
M. Durak,Mustafa Durak,65,France,69.0,51.0,30.0
A. Alsdairy,Abdullah Mohammed Al Sudairy,65,Saudi Arabia,,,
Semedo,Sérgio Manuel Monteiro Semedo,65,Portugal,46.0,56.0,66.0
D. Tonetto,Diego Rubén Tonetto,65,Argentina,61.0,65.0,37.0
W. Kamavuaka,Wilson Kamavuaka,65,Germany,41.0,58.0,65.0
H. Hinostroza,Paulo Hernán Junior Hinostroza Vásquez,65,Peru,57.0,67.0,59.0
C. Mansanelli,César Mansanelli,65,Argentina,65.0,66.0,34.0
Cristian Ponde,Cristian Ioan Ponde,65,Portugal,64.0,51.0,29.0
D. Johnson,Daniel Anthony Johnson,65,England,61.0,61.0,43.0
G. Koçer,Guido Koçer,65,Germany,64.0,62.0,26.0
C. Christie,Cyrus Sylvester Frederick Christie,65,England,43.0,59.0,62.0
D. Mandroiu,Daniel Mandroiu,65,Republic of Ireland,63.0,64.0,51.0
M. Hostados,Martin Hostados,65,Colombia,68.0,60.0,33.0
L. Dalsaro,Lucas Dalsaro,65,Uruguay,62.0,66.0,64.0
O. Fisdono,Octavio Fisdono,65,Paraguay,64.0,61.0,30.0
C. Gazalio,Cristopher Gazalio,65,Paraguay,64.0,45.0,29.0
A. Busteño,Alfonso Busteño,65,Uruguay,39.0,54.0,69.0
J. Adelalla,Juan Eduardo Adelalla,65,Uruguay,68.0,60.0,51.0
S. Cardenia,Sergio Cardenia,65,Colombia,61.0,62.0,47.0
D. Sirella,Dante Sirella,65,Uruguay,48.0,61.0,63.0
A. MacDonald,Alexander MacDonald,65,Scotland,58.0,61.0,57.0
Hui Jiakang,惠家康,65,China PR,60.0,62.0,39.0
E. Salles,Esteban Salles,65,France,,,
T. Königsmann,Timo Königsmann,65,Germany,,,
L. Reed,Louis Samuel Reed,65,England,55.0,62.0,61.0
R. Oates,Rhys Derek Oates,65,England,61.0,52.0,34.0
J. Stewart,Jordan Stewart,65,England,53.0,58.0,62.0
P. Degen,Philipp Degen,65,Switzerland,48.0,59.0,62.0
L. Price,Lewis Price,65,Wales,,,
P. Platins,Patrick Platins,65,Germany,,,
M. Diallo,Mamadou Lamarana Diallo,65,Guinea,62.0,56.0,22.0
A. Bakayoko,Amadou Bakayoko,65,Sierra Leone,63.0,51.0,44.0
G. Martínez,Guillermo Martínez Ayala,65,Mexico,60.0,54.0,34.0
R. Al Mousa,Rayan Al Mousa,65,Saudi Arabia,43.0,57.0,63.0
Wu Yake,吴亚轲,65,China PR,,,
G. Fochive,George Fochive,65,United States,39.0,51.0,62.0
P. Matricardi,Patricio Martín Matricardi,65,Argentina,33.0,40.0,63.0
A. Rambal,Alex Enrique Rambal Ramírez,65,Colombia,38.0,49.0,66.0
M. Kupczak,Mateusz Kupczak,65,Poland,52.0,54.0,61.0
C. Shaughnessy,Conor Glynn Shaughnessy,65,Republic of Ireland,51.0,58.0,63.0
Sebas Moyano,Francisco Sebastián Moyano Jiménez,65,Spain,57.0,59.0,35.0
B. Babić,Boris Babić,65,Switzerland,61.0,50.0,27.0
J. Kitolano,John Kitolano,65,Norway,37.0,54.0,57.0
A. Ba,Alioune Ba,65,France,24.0,36.0,64.0
M. Holzmann,Marcel Holzmann,65,Austria,54.0,59.0,59.0
